track,file,title,words,estimated_145wpm
00,00-opening.txt,"Автор, название, подзаголовок",18,00:07
01,01-prolog.txt,"Пролог. «Мама, это я»",929,06:24
02,02-glava-01-golos.txt,Часть первая. Глава 1. Голос,1040,07:10
03,03-glava-02-lico.txt,Глава 2. Лицо,947,06:32
04,04-glava-03-perepiska.txt,Глава 3. Переписка,922,06:22
05,05-glava-04-foto-skrinshot-dokument.txt,"Глава 4. Фото, скриншот и документ",1139,07:51
06,06-glava-05-reshenie.txt,Часть вторая. Глава 5. Самый важный компонент дипфейка — не нейросеть,866,05:58
07,07-glava-06-sekretnost.txt,Глава 6. «Только никому не говори»,549,03:47
08,08-glava-07-znanie.txt,Глава 7. Когда подделка знает слишком много,992,06:50
09,09-interlyudiya-cepochka-doveriya.txt,Интерлюдия. Цепочка доверия,907,06:15
10,10-glava-08-vyydite-iz-soobshcheniya.txt,Часть третья. Глава 8. Выйдите из сообщения,902,06:13
11,11-glava-09-cena-deystviya.txt,"Глава 9. Проверяем не сообщение, а цену действия",900,06:12
12,12-glava-10-semya.txt,"Глава 10. Семья: договориться до того, как зазвонит телефон",1215,08:23
13,13-glava-11-biznes.txt,Глава 11. Начальник тоже должен пройти проверку,1235,08:31
14,14-interlyudiya-kto-nastoyashchiy.txt,Интерлюдия. Кто именно настоящий?,894,06:10
15,15-glava-12-proverka.txt,"Глава 12. Кто будет проверять подделку: программа, подпись или мы сами?",830,05:43
16,16-glava-13-cifrovoy-dvoynik.txt,Часть четвёртая. Глава 13. Двойник может говорить за вас,1820,12:33
17,17-interlyudiya-feyk-nichego-ne-prosit.txt,Интерлюдия. Когда фейк ничего не просит,980,06:46
18,18-glava-14-dividend-lzhetsa.txt,Глава 14. Дивиденд лжеца,1091,07:31
19,19-zaklyuchenie.txt,Заключение. Не «никому не верь»,656,04:31
20,20-prilozhenie-01-semya.txt,Практические приложения. Приложение 1. Как договориться в семье заранее,169,01:10
21,21-prilozhenie-02-roditeli.txt,Приложение 2. Как поговорить с пожилыми родителями,147,01:01
22,22-prilozhenie-03-podrostok.txt,Приложение 3. Три правила для подростка,97,00:40
23,23-prilozhenie-04-kompaniya.txt,Приложение 4. Как перепроверять необычные поручения в компании,191,01:19
24,24-prilozhenie-05-audio-video.txt,Приложение 5. Если вам прислали подозрительное аудио или видео,127,00:53
25,25-prilozhenie-06-ot-vashego-imeni.txt,Приложение 6. Если подделка создана от вашего имени,211,01:27
26,26-prilozhenie-07-slovar.txt,Приложение 7. Краткий словарь,166,01:09
27,27-prilozhenie-08-gde-proveryat.txt,Приложение 8. Где проверять актуальные рекомендации,201,01:23
28,28-sources-note.txt,Примечание об источниках,37,00:15
